Date,Time,Open,High,Low,Close,EMA,Super Trend UP,Super Trend DN,EMA 100
17-Mar-26,12.25,139.68,139.68,139.59,139.67,144.02300084451565,,140.5963279910629,144.02300084451565
17-Mar-26,12.30,139.66,139.71,139.59,139.68,144.01432352015098,,140.55119519195662,144.01432352015098
17-Mar-26,12.35,139.74,139.86,139.62,139.66,144.00562357305776,,140.55119519195662,144.00562357305776
17-Mar-26,12.40,139.65,139.73,139.6,139.67,143.9969609884962,,140.49876810548486,143.9969609884962
17-Mar-26,12.45,139.73,140.0,139.67,140.0,143.98897505245526,,140.49876810548486,143.98897505245526
17-Mar-26,12.50,139.99,140.1,139.87,139.89,143.98078529211068,,140.49876810548486,143.98078529211068
17-Mar-26,12.55,139.9,140.0,139.87,140.0,143.97283167514342,,140.49876810548486,143.97283167514342
17-Mar-26,13.00,140.0,140.3,139.99,140.24,143.96537346999827,,140.49876810548486,143.96537346999827
17-Mar-26,13.05,140.29,140.34,139.9,140.24,143.9579301663619,,140.49876810548486,143.9579301663619
17-Mar-26,13.10,140.2,140.24,140.07,140.08,143.9501820541414,,140.49876810548486,143.9501820541414
17-Mar-26,13.15,140.14,140.22,140.06,140.1,143.94248938270457,,140.49876810548486,143.94248938270457
17-Mar-26,13.20,140.1,140.1,139.87,139.87,143.93435254078108,,140.49876810548486,143.93435254078108
17-Mar-26,13.25,139.93,140.01,139.82,140.01,143.9265116765637,,140.49876810548486,143.9265116765637
17-Mar-26,13.30,139.98,140.3,139.91,140.12,143.91890625862854,,140.49876810548486,143.91890625862854
17-Mar-26,13.35,140.12,140.15,140.09,140.09,143.91125609627363,,140.49876810548486,143.91125609627363
17-Mar-26,13.40,140.17,140.2,140.0,140.04,143.9035213188585,,140.49876810548486,143.9035213188585
17-Mar-26,13.45,140.05,140.14,139.98,139.98,143.89568211542422,,140.49876810548486,143.89568211542422
17-Mar-26,13.50,140.06,140.06,139.89,140.0,143.88789853477402,,140.49876810548486,143.88789853477402
17-Mar-26,13.55,140.04,140.04,139.88,139.9,143.87993070553372,,140.49876810548486,143.87993070553372
17-Mar-26,14.00,139.9,140.1,139.88,139.9,143.87197879603215,,140.49876810548486,143.87197879603215
17-Mar-26,14.05,139.98,140.0,139.88,139.98,143.8642026146215,,140.49876810548486,143.8642026146215
17-Mar-26,14.10,139.99,140.3,139.93,140.3,143.85708133067618,,140.49876810548486,143.85708133067618
17-Mar-26,14.15,140.3,140.3,140.1,140.27,143.84991433501048,,140.49876810548486,143.84991433501048
17-Mar-26,14.20,140.27,140.34,140.21,140.22,143.84266175891656,,140.49876810548486,143.84266175891656
17-Mar-26,14.25,140.21,140.27,140.05,140.06,143.8351039931645,,140.49876810548486,143.8351039931645
17-Mar-26,14.30,140.09,140.16,140.05,140.1,143.8276412479234,,140.49876810548486,143.8276412479234
17-Mar-26,14.35,140.06,140.1,139.85,139.85,143.81969391276272,,140.49876810548486,143.81969391276272
17-Mar-26,14.40,139.95,139.95,139.6,139.69,143.81144277607387,,140.44337210930533,143.81144277607387
17-Mar-26,14.45,139.66,139.76,139.46,139.46,143.8027485847131,,140.30153489837485,143.8027485847131
17-Mar-26,14.50,139.58,139.7,139.46,139.51,143.79417166446393,,140.27438140853732,143.79417166446393
17-Mar-26,14.55,139.5,139.56,139.35,139.53,143.7856518409585,,140.1429432676836,143.7856518409585
17-Mar-26,15.00,139.52,139.52,139.18,139.26,143.77660957953802,,140.07414894091525,143.77660957953802
17-Mar-26,15.05,139.26,139.29,139.1,139.12,143.76730566429418,,139.9037340468237,143.76730566429418
17-Mar-26,15.10,139.14,139.76,139.0,139.58,143.7589394192107,,139.9037340468237,143.7589394192107
17-Mar-26,15.15,139.55,139.6,139.28,139.41,143.7502502295619,,139.9037340468237,143.7502502295619
17-Mar-26,15.20,139.45,139.82,139.44,139.53,143.74181816117118,,139.9037340468237,143.74181816117118
17-Mar-26,15.25,139.54,140.0,139.22,140.0,143.734342001009,138.88561859146265,,143.734342001009
18-Mar-26,09.15,140.3,141.5,140.13,141.31,143.72949816084713,139.41669483269106,,143.72949816084713
18-Mar-26,09.20,141.33,141.69,141.3,141.3,143.72464401866762,140.11952534942196,,143.72464401866762
18-Mar-26,09.25,141.38,141.8,141.31,141.8,143.72079857607287,140.16707281447978,,143.72079857607287
18-Mar-26,09.30,141.6,142.3,141.52,142.3,143.71795981767912,140.42686553303182,,143.71795981767912
18-Mar-26,09.35,142.35,142.9,142.35,142.55,143.7156262316298,141.1101789797286,,143.7156262316298
18-Mar-26,09.40,142.67,143.0,142.42,142.42,143.71303756783036,141.1726610817557,,143.71303756783036
18-Mar-26,09.45,142.62,142.93,142.44,142.9,143.71141311714538,141.1726610817557,,143.71141311714538
18-Mar-26,09.50,142.77,142.89,142.44,142.52,143.70903267135688,141.1726610817557,,143.70903267135688
