Date,Time,Open,High,Low,Close,VWAP
17-Dec-25,12.15,16412,16419,16381,16387,16022.39498400477
17-Dec-25,13.15,16389,16400,16385,16398,16022.905721900735
17-Dec-25,14.15,16398,16425,16374,16396,16024.160583989124
17-Dec-25,15.15,16399,16414,16373,16385,16024.627477780174
18-Dec-25,09.15,16440,16486,16221,16250,16025.39046245409
18-Dec-25,10.15,16250,16335,16242,16305,16025.600525674314
18-Dec-25,11.15,16301,16343,16290,16343,16025.807643208062
18-Dec-25,12.15,16343,16395,16321,16392,16026.053425454673
18-Dec-25,13.15,16395,16404,16350,16354,16027.055602543322
18-Dec-25,14.15,16351,16376,16290,16331,16027.912690525884
18-Dec-25,15.15,16331,16360,16306,16306,16028.32898254143
19-Dec-25,09.15,16352,16399,16340,16367,16028.87170694828
19-Dec-25,10.15,16367,16423,16361,16414,16029.715911556224
19-Dec-25,11.15,16412,16475,16412,16448,16030.109727759278
19-Dec-25,12.15,16449,16456,16429,16433,16030.400454041115
19-Dec-25,13.15,16431,16450,16430,16445,16030.837460000062
19-Dec-25,14.15,16441,16457,16408,16412,16033.453512784938
19-Dec-25,15.15,16412,16424,16396,16416,16035.915099794114
22-Dec-25,09.15,16454,16549,16414,16518,16036.858363003876
22-Dec-25,10.15,16517,16533,16487,16504,16037.431526767634
22-Dec-25,11.15,16504,16518,16499,16510,16038.36390198479
22-Dec-25,12.15,16510,16519,16490,16497,16039.026912588815
22-Dec-25,13.15,16497,16527,16491,16501,16039.692225750685
22-Dec-25,14.15,16503,16643,16498,16636,16041.716296930364
22-Dec-25,15.15,16644,16693,16638,16681,16043.516359287434
23-Dec-25,09.15,16703,16720,16584,16622,16044.480737691152
23-Dec-25,10.15,16619,16627,16585,16606,16045.881238643526
23-Dec-25,11.15,16605,16630,16574,16625,16046.625421225584
23-Dec-25,12.15,16625,16630,16585,16590,16047.979881159828
23-Dec-25,13.15,16590,16617,16585,16605,16048.39040091138
23-Dec-25,14.15,16604,16630,16579,16586,16049.386664125288
23-Dec-25,15.15,16586,16586,16558,16561,16049.894155970687
24-Dec-25,09.15,16601,16618,16542,16617,16050.531307142042
24-Dec-25,10.15,16612,16709,16612,16666,16051.803656394302
24-Dec-25,11.15,16670,16714,16670,16696,16053.144286441784
24-Dec-25,12.15,16701,16710,16675,16694,16054.409333329952
24-Dec-25,13.15,16694,16717,16680,16710,16055.576333351624
24-Dec-25,14.15,16709,16720,16690,16700,16057.643544238344
24-Dec-25,15.15,16699,16709,16683,16709,16058.43139204079
26-Dec-25,09.15,16683,16700,16614,16626,16058.91402473416
26-Dec-25,10.15,16628,16640,16586,16592,16059.326009030345
26-Dec-25,11.15,16591,16595,16516,16580,16059.891533718395
26-Dec-25,12.15,16578,16616,16563,16616,16060.585436463629
26-Dec-25,13.15,16635,16635,16572,16590,16061.45556706328
26-Dec-25,14.15,16590,16616,16578,16615,16063.39125988602
26-Dec-25,15.15,16616,16616,16570,16573,16064.371751497434
29-Dec-25,09.15,16606,16682,16577,16593,16065.465686016623
29-Dec-25,10.15,16594,16596,16517,16529,16066.022889505815
29-Dec-25,11.15,16530,16602,16499,16575,16067.320040184675
29-Dec-25,12.15,16575,16596,16565,16585,16068.19738404012
29-Dec-25,13.15,16585,16618,16561,16589,16069.350633467271
29-Dec-25,14.15,16590,16618,16527,16536,16070.69288228239
29-Dec-25,15.15,16535,16571,16528,16552,16070.933120577463
30-Dec-25,09.15,16566,16630,16482,16629,16072.119418339542
30-Dec-25,10.15,16629,16818,16621,16686,16075.322505304057
30-Dec-25,11.15,16686,16706,16648,16660,16077.882989994732
30-Dec-25,12.15,16661,16672,16615,16640,16079.910050507338
30-Dec-25,13.15,16634,16697,16613,16656,16083.179408844671
30-Dec-25,14.15,16662,16771,16629,16639,16094.684384191709
30-Dec-25,15.15,16639,16667,16548,16625,16100.913829335055
31-Dec-25,09.15,16647,16730,16628,16712,16101.81134860243
