Date,Time,Open,High,Low,Close,EMA,Super Trend UP,Super Trend DN,EMA 100,EMA 200
23-Mar-26,10.45,132.15,132.82,132.15,132.5,136.56626469679094,,133.64746699373634,140.57235629775417,136.56626469679094
23-Mar-26,10.48,132.6,132.77,132.16,132.16,136.47901193051786,,133.64746699373634,140.55554839306336,136.47901193051786
23-Mar-26,10.51,132.3,132.5,132.21,132.48,136.3998235754581,,133.64746699373634,140.53941343123907,136.3998235754581
23-Mar-26,10.54,132.38,132.38,131.59,131.83,136.30933201950845,,133.64203668145643,140.52201200580205,136.30933201950845
23-Mar-26,10.57,131.83,132.02,131.7,131.95,136.22300861318155,,133.44733301331078,140.50488510868755,136.22300861318155
23-Mar-26,11.00,131.95,132.0,131.75,131.99,136.1391866604453,,133.3785997119797,140.48787235122762,136.1391866604453
23-Mar-26,11.03,131.99,131.99,131.81,131.81,136.05346019192163,,133.30723974078174,140.47053394493147,136.05346019192163
23-Mar-26,11.06,131.88,132.08,131.75,131.99,135.97299563366576,,133.2805157667036,140.45358982116537,135.97299563366576
23-Mar-26,11.09,131.94,131.99,131.5,131.58,135.88600562111793,,133.12096419003322,140.43586037097322,135.88600562111793
23-Mar-26,11.12,131.58,131.61,131.21,131.37,135.79657976723442,,132.76836777102992,140.4177467638384,135.79657976723442
23-Mar-26,11.15,131.37,131.37,131.21,131.35,135.70852868273474,,132.5605309939269,140.39962938768687,135.70852868273474
23-Mar-26,11.18,131.33,131.62,131.26,131.29,135.62103306525484,,132.5605309939269,140.38142832996922,135.62103306525484
23-Mar-26,11.21,131.56,131.56,131.21,131.37,135.53685419267552,,132.5605309939269,140.36342347816108,135.53685419267552
23-Mar-26,11.24,131.41,131.41,131.21,131.38,135.4545402482661,,132.47819709457272,140.34547458010283,135.4545402482661
23-Mar-26,11.27,131.38,131.46,131.3,131.38,135.3738562829539,,132.47819709457272,140.32756154397876,135.3738562829539
23-Mar-26,11.30,131.5,131.71,131.3,131.53,135.29774031695482,,132.47819709457272,140.30998399843634,135.29774031695482
23-Mar-26,11.33,131.5,131.57,131.3,131.46,135.22174545919333,,132.47819709457272,140.29230171272516,135.22174545919333
23-Mar-26,11.36,131.46,131.5,131.31,131.45,135.14705743029842,,132.43597611374915,140.2746347762362,135.14705743029842
23-Mar-26,11.39,131.4,131.62,131.4,131.58,135.07642262969844,,132.43597611374915,140.2572628785814,135.07642262969844
23-Mar-26,11.42,131.52,131.64,131.47,131.49,135.00540435980344,,132.43597611374915,140.23974586983297,135.00540435980344
23-Mar-26,11.45,131.33,131.43,131.3,131.36,134.93321813485684,,132.27294158692314,140.2220041198433,134.93321813485684
23-Mar-26,11.48,131.37,131.54,131.37,131.54,134.86602569654283,,132.27294158692314,140.2046574582652,134.86602569654283
23-Mar-26,11.51,131.6,131.72,131.55,131.69,134.8031340985915,,132.27294158692314,140.18764515565127,134.8031340985915
23-Mar-26,11.54,131.61,131.67,131.27,131.35,134.73475520555007,,132.27294158692314,140.16998752297263,134.73475520555007
23-Mar-26,11.57,131.45,131.5,131.31,131.39,134.66852242920254,,132.25420647518027,140.1524450903593,134.66852242920254
23-Mar-26,12.00,131.41,131.47,131.21,131.31,134.60201703456485,,132.18228582766224,140.13477786740154,134.60201703456485
23-Mar-26,12.03,131.31,131.31,131.21,131.25,134.53564045962298,,132.048057244896,140.11702606347066,134.53564045962298
23-Mar-26,12.06,131.21,131.28,131.0,131.1,134.467607975274,,131.9332515204064,140.09901002737982,134.467607975274
23-Mar-26,12.09,131.15,131.28,131.08,131.28,134.4044870252686,,131.9332515204064,140.08138962772472,134.4044870252686
23-Mar-26,12.12,131.26,131.34,131.2,131.2,134.34103183664942,,131.9332515204064,140.06364459350348,134.34103183664942
23-Mar-26,12.15,131.1,131.15,131.1,131.1,134.27685298839893,,131.81968035837627,140.04573521369628,134.27685298839893
23-Mar-26,12.18,131.1,131.22,131.1,131.1,134.21394500843064,,131.81968035837627,140.02786161686572,134.21394500843064
23-Mar-26,12.21,131.21,131.21,131.1,131.1,134.15228273103597,,131.78309109028478,140.01002373151735,134.15228273103597
23-Mar-26,12.24,131.1,131.11,131.0,131.04,134.09065337002536,,131.65328198125633,139.99210160617966,134.09065337002536
23-Mar-26,12.27,131.0,131.16,131.0,131.16,134.0326206300249,,131.65328198125633,139.97445504952395,134.0326206300249
23-Mar-26,12.30,131.17,131.5,131.17,131.45,133.9814796274501,,131.65328198125633,139.95742317130313,133.9814796274501
23-Mar-26,12.33,131.45,131.5,131.45,131.5,133.93234141700557,,131.65328198125633,139.94052522290892,133.93234141700557
23-Mar-26,12.36,131.5,131.5,131.28,131.32,133.88061188399553,,131.65328198125633,139.92330139628973,133.88061188399553
