time,open,high,low,close,Up Trend,Down Trend,EMA,EMA
2026-03-19T10:45:00+05:30,139.75,139.77,139.66,139.7,,140.24031907353438,141.9899592160509,140.6530266992489
2026-03-19T10:48:00+05:30,139.7,139.96,139.7,139.93,,140.24031907353438,141.9858434134214,140.63870933886773
2026-03-19T10:51:00+05:30,139.94,139.94,139.84,139.89,,140.24031907353438,141.9816559140939,140.6238834113654
2026-03-19T10:54:00+05:30,139.89,140,139.8,139.8,,140.24031907353438,141.97729696121857,140.60756888836806
2026-03-19T10:57:00+05:30,139.87,139.93,139.6,139.6,,140.24031907353438,141.9725471171402,140.58761702919247
2026-03-19T11:00:00+05:30,139.6,139.7,139.6,139.7,,140.24031907353438,141.9680065634596,140.57004045435698
2026-03-19T11:03:00+05:30,139.55,139.65,139.55,139.65,,140.24031907353438,141.9633751817144,140.55182183149844
2026-03-19T11:06:00+05:30,139.7,139.77,139.65,139.65,,140.24031907353438,141.95875305347923,140.53396397344898
2026-03-19T11:09:00+05:30,139.6,139.65,139.51,139.6,,140.2100538446298,141.95404026016558,140.51546963734108
2026-03-19T11:12:00+05:30,139.6,139.8,139.6,139.6,,140.2100538446298,141.9493368830224,140.49734152571057
2026-03-19T11:15:00+05:30,139.61,139.61,139.55,139.56,,140.1623436141502,141.94456298315623,140.47878030737965
2026-03-19T11:18:00+05:30,139.52,139.58,139.4,139.48,,140.06810925273516,141.9396387813917,140.45900247951076
2026-03-19T11:21:00+05:30,139.5,139.65,139.5,139.65,,140.06810925273516,141.93506407853178,140.44298262843134
2026-03-19T11:24:00+05:30,139.65,139.65,139.4,139.47,,140.06810925273516,141.93013887557768,140.42371564569012
2026-03-19T11:27:00+05:30,139.47,139.47,139.31,139.31,,139.96825164524392,141.92490383286923,140.40166187052793
2026-03-19T11:30:00+05:30,139.35,139.73,139.25,139.59,,139.96825164524392,141.92023869034603,140.38558935824025
2026-03-19T11:33:00+05:30,139.57,139.62,139.57,139.62,,139.96825164524392,141.91564280884683,140.37042917292857
2026-03-19T11:36:00+05:30,139.52,139.71,139.52,139.7,,139.96825164524392,141.9112159500879,140.35715334772206
2026-03-19T11:39:00+05:30,139.7,139.72,139.65,139.65,,139.96825164524392,141.90669803610172,140.3431503111335
2026-03-19T11:42:00+05:30,139.71,139.72,139.69,139.69,,139.96825164524392,141.90226906899662,140.3302166416061
2026-03-19T11:45:00+05:30,139.69,139.7,139.43,139.51,,139.96825164524392,141.897489310617,140.31397472791093
2026-03-19T11:48:00+05:30,139.48,139.51,139.22,139.22,,139.95657752334006,141.89213968162477,140.2923118620117
2026-03-19T11:51:00+05:30,139.38,139.45,139.2,139.45,,139.93241977100604,141.8872602816615,140.27563241919958
2026-03-19T11:54:00+05:30,139.34,139.51,139.34,139.43,,139.93241977100604,141.88235067070912,140.25888722277978
