time,open,high,low,close,VWAP
2025-12-19T15:15:00+05:30,16412,16424,16396,16416,16035.915099794114
2025-12-22T09:15:00+05:30,16454,16549,16414,16518,16036.858363003876
2025-12-22T10:15:00+05:30,16517,16533,16487,16504,16037.431526767634
2025-12-22T11:15:00+05:30,16504,16518,16499,16510,16038.36390198479
2025-12-22T12:15:00+05:30,16510,16519,16490,16497,16039.026912588817
2025-12-22T13:15:00+05:30,16497,16527,16491,16501,16039.692225750683
2025-12-22T14:15:00+05:30,16503,16643,16498,16636,16041.716296930363
2025-12-22T15:15:00+05:30,16644,16693,16638,16681,16043.516359287434
2025-12-23T09:15:00+05:30,16703,16720,16584,16622,16044.480737691152
2025-12-23T10:15:00+05:30,16619,16627,16585,16606,16045.881238643526
2025-12-23T11:15:00+05:30,16605,16630,16574,16625,16046.625421225584
2025-12-23T12:15:00+05:30,16625,16630,16585,16590,16047.979881159827
2025-12-23T13:15:00+05:30,16590,16617,16585,16605,16048.39040091138
2025-12-23T14:15:00+05:30,16604,16630,16579,16586,16049.386664125288
2025-12-23T15:15:00+05:30,16586,16586,16558,16561,16049.894155970687
2025-12-24T09:15:00+05:30,16601,16618,16542,16617,16050.531307142042
2025-12-24T10:15:00+05:30,16612,16709,16612,16666,16051.803656394302
2025-12-24T11:15:00+05:30,16670,16714,16670,16696,16053.144286441784
2025-12-24T12:15:00+05:30,16701,16710,16675,16694,16054.409333329952
2025-12-24T13:15:00+05:30,16694,16717,16680,16710,16055.576333351624
2025-12-24T14:15:00+05:30,16709,16720,16690,16700,16057.643544238343
2025-12-24T15:15:00+05:30,16699,16709,16683,16709,16058.43139204079
2025-12-26T09:15:00+05:30,16683,16700,16614,16626,16058.91402473416
2025-12-26T10:15:00+05:30,16628,16640,16586,16592,16059.326009030345
2025-12-26T11:15:00+05:30,16591,16595,16516,16580,16059.891533718395
2025-12-26T12:15:00+05:30,16578,16616,16563,16616,16060.585436463629
2025-12-26T13:15:00+05:30,16635,16635,16572,16590,16061.45556706328
2025-12-26T14:15:00+05:30,16590,16616,16578,16615,16063.39125988602
2025-12-26T15:15:00+05:30,16616,16616,16570,16573,16064.371751497434
2025-12-29T09:15:00+05:30,16606,16682,16577,16593,16065.465686016623
2025-12-29T10:15:00+05:30,16594,16596,16517,16529,16066.022889505817
2025-12-29T11:15:00+05:30,16530,16602,16499,16575,16067.320040184675
2025-12-29T12:15:00+05:30,16575,16596,16565,16585,16068.19738404012
2025-12-29T13:15:00+05:30,16585,16618,16561,16589,16069.350633467271
2025-12-29T14:15:00+05:30,16590,16618,16527,16536,16070.69288228239
2025-12-29T15:15:00+05:30,16535,16571,16528,16552,16070.933120577465
2025-12-30T09:15:00+05:30,16566,16630,16482,16629,16072.119418339542
