time,open,high,low,close,Up Trend,Down Trend,EMA
2026-03-18T12:00:00+05:30,141.7,141.79,141.7,141.74,141.50272073970325,,143.62841000766858
2026-03-18T12:05:00+05:30,141.75,141.75,141.69,141.75,141.50272073970325,,143.6246569407202
2026-03-18T12:10:00+05:30,141.74,141.75,141.69,141.69,141.50272073970325,,143.6207914922872
2026-03-18T12:15:00+05:30,141.7,141.82,141.63,141.73,141.50272073970325,,143.6170136871078
2026-03-18T12:20:00+05:30,141.75,141.82,141.73,141.82,141.50272073970325,,143.6134232501705
2026-03-18T12:25:00+05:30,141.87,141.87,141.74,141.76,141.50272073970325,,143.60972010681354
2026-03-18T12:30:00+05:30,141.76,141.8,141.74,141.74,141.50272073970325,,143.60598440230441
2026-03-18T12:35:00+05:30,141.84,141.85,141.69,141.78,141.50272073970325,,143.60233608182028
2026-03-18T12:40:00+05:30,141.8,141.84,141.67,141.75,141.50272073970325,,143.59863511062784
2026-03-18T12:45:00+05:30,141.78,141.85,141.69,141.78,141.50272073970325,,143.59500147404316
2026-03-18T12:50:00+05:30,141.8,141.88,141.7,141.81,141.50272073970325,,143.5914350375316
2026-03-18T12:55:00+05:30,141.71,141.81,141.71,141.71,141.50272073970325,,143.5876759265675
2026-03-18T13:00:00+05:30,141.71,141.85,141.71,141.85,141.50272073970325,,143.58420404659435
2026-03-18T13:05:00+05:30,141.8,141.84,141.75,141.84,141.50272073970325,,143.58071912342433
2026-03-18T13:10:00+05:30,141.8,142.24,141.76,142.15,141.50272073970325,,143.57786054375714
2026-03-18T13:15:00+05:30,142.12,142.2,142.1,142.16,141.609064485772,,143.57502765555782
2026-03-18T13:20:00+05:30,142.14,142.3,142.1,142.29,141.6531580371948,,143.57246016773453
2026-03-18T13:25:00+05:30,142.29,142.29,141.85,141.85,141.6531580371948,,143.56901868887792
2026-03-18T13:30:00+05:30,141.85,142,141.85,141.95,141.6531580371948,,143.56578388630274
2026-03-18T13:35:00+05:30,141.95,142.16,141.9,142.15,141.6531580371948,,143.56295514726918
2026-03-18T13:40:00+05:30,142.18,142.25,142.15,142.15,141.6531580371948,,143.56013206006185
2026-03-18T13:45:00+05:30,142.15,142.18,141.85,141.85,141.6531580371948,,143.556715212789
2026-03-18T13:50:00+05:30,141.94,142.02,141.9,142.02,141.6531580371948,,143.55364485272347
2026-03-18T13:55:00+05:30,142,142.14,141.93,142.1,141.6531580371948,,143.55074046740333
2026-03-18T14:00:00+05:30,142.24,142.24,142.01,142.05,141.6531580371948,,143.547741984951
2026-03-18T14:05:00+05:30,142.04,142.04,141.77,141.94,141.6531580371948,,143.54452971325279
2026-03-18T14:10:00+05:30,141.94,141.98,141.65,141.85,141.6531580371948,,143.54114403950004
2026-03-18T14:15:00+05:30,141.77,141.89,141.71,141.8,141.6531580371948,,143.53766523023032
2026-03-18T14:20:00+05:30,141.8,141.9,141.66,141.9,141.6531580371948,,143.53439317182827
2026-03-18T14:25:00+05:30,141.9,141.95,141.52,141.63,,142.4536433191138,143.53058819046598
2026-03-18T14:30:00+05:30,141.63,141.63,141.55,141.57,,142.27575108848217,143.52667093134417
2026-03-18T14:35:00+05:30,141.57,141.57,141.35,141.36,,142.14317597963392,143.52234191849433
2026-03-18T14:40:00+05:30,141.3,141.48,141.2,141.25,,142.03885838167054,143.51780177480103
2026-03-18T14:45:00+05:30,141.25,141.55,141.25,141.43,,142.03885838167054,143.51363034268354
2026-03-18T14:50:00+05:30,141.53,141.79,141.15,141.15,,142.03885838167054,143.50890780453634
2026-03-18T14:55:00+05:30,141.15,141.19,141.15,141.19,,141.93716776023786,143.50427462210968
2026-03-18T15:00:00+05:30,141.43,141.5,141.25,141.44,,141.93716776023786,143.50015019729028
2026-03-18T15:05:00+05:30,141.44,141.44,141.26,141.32,,141.93716776023786,143.49579425284014
2026-03-18T15:10:00+05:30,141.31,141.4,141.26,141.35,,141.93716776023786,143.49150695163567
2026-03-18T15:15:00+05:30,141.35,141.35,141.01,141.06,,141.93467576749205,143.48664879588816
2026-03-18T15:20:00+05:30,141.01,141.22,140.94,141.21,,141.84320819074284,143.48210004704524
2026-03-18T15:25:00+05:30,141.25,141.5,141.03,141.12,,141.84320819074284,143.47738056643175
2026-03-19T09:15:00+05:30,140,140.07,139.01,139.7,,140.9180986345017,143.4698333525128
2026-03-19T09:20:00+05:30,139.51,139.84,139.2,139.84,,140.9180986345017,143.46258093822206
2026-03-19T09:25:00+05:30,139.82,140.36,139.55,140.11,,140.9180986345017,143.45588247480902
2026-03-19T09:30:00+05:30,140.09,140.18,139.77,139.95,,140.9180986345017,143.44887771461958
2026-03-19T09:35:00+05:30,140.01,140.31,139.8,139.81,,140.9180986345017,143.4416072296753
2026-03-19T09:40:00+05:30,139.88,139.88,139.3,139.31,,140.9180986345017,143.43335227017545
2026-03-19T09:45:00+05:30,139.35,139.53,139.01,139.27,,140.8013814964182,143.42503388402125
2026-03-19T09:50:00+05:30,139.27,139.6,139.01,139.37,,140.8013814964182,143.416931918219
2026-03-19T09:55:00+05:30,139.37,139.37,139.13,139.15,,140.72171901209876,143.40840657972106
2026-03-19T10:00:00+05:30,139.2,139.35,139.09,139.26,,140.6225471108889,143.40011805508624
2026-03-19T10:05:00+05:30,139.26,139.5,139.26,139.34,,140.6225471108889,143.39200593110004
2026-03-19T10:10:00+05:30,139.28,139.51,139.28,139.49,,140.6225471108889,143.3842097154535
2026-03-19T10:15:00+05:30,139.4,139.58,139.4,139.5,,140.6225471108889,143.37644905668137
2026-03-19T10:20:00+05:30,139.45,139.57,139.31,139.55,,140.59518915945418,143.36880380382087
2026-03-19T10:25:00+05:30,139.5,139.66,139.48,139.52,,140.59518915945418,143.3611138861309
2026-03-19T10:30:00+05:30,139.58,139.9,139.58,139.9,,140.59518915945418,143.3541985736711
2026-03-19T10:35:00+05:30,139.9,140.19,139.64,140,,140.59518915945418,143.34749687821923
2026-03-19T10:40:00+05:30,139.97,140,139.65,139.75,,140.59518915945418,143.34030907226875
2026-03-19T10:45:00+05:30,139.75,139.96,139.66,139.93,,140.59518915945418,143.33349526792855
2026-03-19T10:50:00+05:30,139.83,139.94,139.83,139.89,,140.59518915945418,143.3266151575031
2026-03-19T10:55:00+05:30,140,140,139.6,139.6,,140.59518915945418,143.31916937297262
2026-03-19T11:00:00+05:30,139.6,139.7,139.55,139.57,,140.59518915945418,143.31167852507457
2026-03-19T11:05:00+05:30,139.65,139.77,139.51,139.51,,140.59518915945418,143.30408276378571
2026-03-19T11:10:00+05:30,139.58,139.8,139.51,139.6,,140.59518915945418,143.2966819990229
2026-03-19T11:15:00+05:30,139.61,139.61,139.4,139.4,,140.43508629438642,143.28889642060327
2026-03-19T11:20:00+05:30,139.49,139.65,139.4,139.63,,140.43508629438642,143.2815859382444
2026-03-19T11:25:00+05:30,139.5,139.5,139.31,139.31,,140.321869898453,143.27365070160457
2026-03-19T11:30:00+05:30,139.35,139.73,139.25,139.57,,140.321869898453,143.26625080010285
2026-03-19T11:35:00+05:30,139.6,139.72,139.52,139.71,,140.321869898453,143.25914540389886
2026-03-19T11:40:00+05:30,139.71,139.72,139.65,139.69,,140.321869898453,143.25201424425072
2026-03-19T11:45:00+05:30,139.69,139.7,139.31,139.31,,140.321869898453,143.24413809191455
2026-03-19T11:50:00+05:30,139.45,139.51,139.2,139.35,,140.2499309063375,143.2363575962264
2026-03-19T11:55:00+05:30,139.45,139.51,139.21,139.5,,140.2499309063375,143.2288923462839
2026-03-19T12:00:00+05:30,139.54,139.57,139.4,139.49,,140.2499309063375,143.22142203190572
2026-03-19T12:05:00+05:30,139.42,139.6,139.4,139.41,,140.2499309063375,143.21380680307075
2026-03-19T12:10:00+05:30,139.41,139.51,139.41,139.51,,140.238084167648,143.206406589678
2026-03-19T12:15:00+05:30,139.52,139.6,139.42,139.5,,140.238084167648,143.19900118190643
2026-03-19T12:20:00+05:30,139.49,139.49,139.41,139.45,,140.1558481757949,143.19151067005447
2026-03-19T12:25:00+05:30,139.41,139.41,139.3,139.39,,140.03526335821542,143.18391524414028
2026-03-19T12:30:00+05:30,139.4,139.4,139.31,139.32,,139.9942370223939,143.17619513376238
2026-03-19T12:35:00+05:30,139.4,139.45,139.34,139.43,,139.9942370223939,143.16871022840022
2026-03-19T12:40:00+05:30,139.43,139.45,139.28,139.28,,139.96888198813903,143.16094057759423
2026-03-19T12:45:00+05:30,139.41,139.44,139.3,139.43,,139.96149378932512,143.15348615086577
2026-03-19T12:50:00+05:30,139.5,139.5,139.34,139.45,,139.96149378932512,143.14608657813676
