Symbol,Date,Time,Open,High,Low,Close,EMA,Signal,Qty,TimeChart,TimeEpoch,SignalKey
Kaynes,05-Jan-24,13.54,2566.3,2566.3,2537.2,2539.35,2547.265269625037,SELL,100,2024-01-05 13:54,1704443040,05-Jan-24|13.54|2566.3|2539.35
Kaynes,08-Jan-24,12.09,2535.0,2545.0,2535.0,2542.75,2537.748608113161,BUY,100,2024-01-08 12:09,1704695940,08-Jan-24|12.09|2535.0|2542.75
Kaynes,10-Jan-24,09.27,2610.05,2612.55,2591.05,2592.35,2611.458741315178,SELL,100,2024-01-10 09:27,1704859020,10-Jan-24|09.27|2610.05|2592.35
Kaynes,11-Jan-24,09.18,2638.0,2647.55,2629.15,2641.1,2606.02620742024,BUY,100,2024-01-11 09:18,1704944880,11-Jan-24|09.18|2638.0|2641.1
Kaynes,15-Jan-24,15.21,2764.4,2770.1,2750.35,2750.35,2763.1646319782003,SELL,100,2024-01-15 15:21,1705312260,15-Jan-24|15.21|2764.4|2750.35
Kaynes,16-Jan-24,09.21,2794.95,2799.75,2787.05,2799.75,2763.9949083737115,BUY,100,2024-01-16 09:21,1705377060,16-Jan-24|09.21|2794.95|2799.75
Kaynes,16-Jan-24,12.00,2778.0,2778.0,2768.0,2768.0,2772.879053713251,SELL,100,2024-01-16 12:00,1705386600,16-Jan-24|12.00|2778.0|2768.0
Kaynes,16-Jan-24,14.00,2763.8,2775.95,2760.5,2775.95,2765.0151685977166,BUY,100,2024-01-16 14:00,1705393800,16-Jan-24|14.00|2763.8|2775.95
Kaynes,17-Jan-24,11.09,2762.95,2762.95,2750.0,2750.0,2762.383447590702,SELL,100,2024-01-17 11:09,1705469940,17-Jan-24|11.09|2762.95|2750.0
Kaynes,18-Jan-24,12.12,2745.0,2767.45,2745.0,2760.1,2742.454651268782,BUY,100,2024-01-18 12:12,1705560120,18-Jan-24|12.12|2745.0|2760.1
Kaynes,18-Jan-24,12.57,2739.7,2740.0,2737.0,2737.0,2742.609033663712,SELL,100,2024-01-18 12:57,1705562820,18-Jan-24|12.57|2739.7|2737.0
Kaynes,19-Jan-24,09.30,2729.35,2735.0,2729.35,2733.9,2727.7694728777574,BUY,100,2024-01-19 09:30,1705636800,19-Jan-24|09.30|2729.35|2733.9
Kaynes,20-Jan-24,09.30,2732.55,2732.55,2720.6,2721.05,2726.547496314408,SELL,100,2024-01-20 09:30,1705723200,20-Jan-24|09.30|2732.55|2721.05
Kaynes,23-Jan-24,09.21,2724.25,2747.25,2718.75,2745.0,2712.69587461784,BUY,100,2024-01-23 09:21,1705981860,23-Jan-24|09.21|2724.25|2745.0
Kaynes,23-Jan-24,11.54,2721.85,2723.95,2711.05,2711.05,2725.024563130347,SELL,100,2024-01-23 11:54,1705991040,23-Jan-24|11.54|2721.85|2711.05
Kaynes,24-Jan-24,09.18,2722.45,2738.85,2686.55,2737.3,2717.4083202401544,BUY,100,2024-01-24 09:18,1706068080,24-Jan-24|09.18|2722.45|2737.3
Kaynes,29-Jan-24,14.24,2873.6,2876.0,2871.0,2871.0,2876.5437308821543,SELL,100,2024-01-29 14:24,1706518440,29-Jan-24|14.24|2873.6|2871.0
Kaynes,29-Jan-24,15.03,2871.55,2889.9,2870.0,2887.4,2875.8695354983706,BUY,100,2024-01-29 15:03,1706520780,29-Jan-24|15.03|2871.55|2887.4
Kaynes,30-Jan-24,14.27,2895.85,2899.8,2895.85,2896.0,2890.3756114339726,SELL,100,2024-01-30 14:27,1706605020,30-Jan-24|14.27|2895.85|2896.0
Kaynes,01-Feb-24,14.06,2822.0,2830.0,2822.0,2830.0,2822.231922085422,BUY,100,2024-02-01 14:06,1706776560,01-Feb-24|14.06|2822.0|2830.0
Kaynes,01-Feb-24,14.21,2822.25,2822.25,2808.0,2810.0,2822.5361043412504,SELL,100,2024-02-01 14:21,1706777460,01-Feb-24|14.21|2822.25|2810.0
Kaynes,02-Feb-24,09.30,2828.5,2839.55,2827.7,2839.55,2820.299068716264,BUY,100,2024-02-02 09:30,1706846400,02-Feb-24|09.30|2828.5|2839.55
Kaynes,05-Feb-24,11.51,2850.0,2850.0,2840.6,2840.6,2852.17075992055,SELL,100,2024-02-05 11:51,1707114060,05-Feb-24|11.51|2850.0|2840.6
Kaynes,05-Feb-24,13.03,2863.85,2867.35,2860.25,2867.35,2853.144676011544,BUY,100,2024-02-05 13:03,1707118380,05-Feb-24|13.03|2863.85|2867.35
Kaynes,06-Feb-24,09.21,2860.0,2860.0,2833.85,2848.05,2864.209367222912,SELL,100,2024-02-06 09:21,1707191460,06-Feb-24|09.21|2860.0|2848.05
Kaynes,06-Feb-24,09.39,2866.1,2879.95,2866.1,2877.6,2863.899916359759,BUY,100,2024-02-06 09:39,1707192540,06-Feb-24|09.39|2866.1|2877.6
Kaynes,06-Feb-24,12.39,2872.9,2872.9,2854.95,2854.95,2869.085714102021,SELL,100,2024-02-06 12:39,1707203340,06-Feb-24|12.39|2872.9|2854.95
Kaynes,07-Feb-24,14.33,2864.35,2880.0,2863.85,2880.0,2868.611916119752,BUY,100,2024-02-07 14:33,1707296580,07-Feb-24|14.33|2864.35|2880.0
Kaynes,09-Feb-24,09.39,2909.95,2909.95,2872.25,2872.25,2907.581836254135,SELL,100,2024-02-09 09:39,1707451740,09-Feb-24|09.39|2909.95|2872.25
